Month,crash_day_no_year,total_crash,day_only
January,01-01,19.714285714285715,01
January,01-02,25.285714285714285,02
January,01-03,30,03
January,01-04,29.857142857142858,04
January,01-05,27,05
January,01-06,30.428571428571427,06
January,01-07,29.142857142857142,07
January,01-08,33,08
January,01-09,31.142857142857142,09
January,01-10,27.714285714285715,10
January,01-11,31.714285714285715,11
January,01-12,31.714285714285715,12
January,01-13,26.142857142857142,13
January,01-14,26.857142857142858,14
January,01-15,33.285714285714285,15
January,01-16,30.142857142857142,16
January,01-17,24.714285714285715,17
January,01-18,29.428571428571427,18
January,01-19,26.428571428571427,19
January,01-20,28.285714285714285,20
January,01-21,27,21
January,01-22,28.714285714285715,22
January,01-23,24.714285714285715,23
January,01-24,24.428571428571427,24
January,01-25,24.142857142857142,25
January,01-26,31.285714285714285,26
January,01-27,28.571428571428573,27
January,01-28,29,28
January,01-29,26.714285714285715,29
January,01-30,29.857142857142858,30
January,01-31,33,31
February,02-01,30.857142857142858,01
February,02-02,34.142857142857146,02
February,02-03,28.571428571428573,03
February,02-04,27.714285714285715,04
February,02-05,28.142857142857142,05
February,02-06,30.285714285714285,06
February,02-07,22.142857142857142,07
February,02-08,24.857142857142858,08
February,02-09,27.714285714285715,09
February,02-10,27.714285714285715,10
February,02-11,26.285714285714285,11
February,02-12,27.428571428571427,12
February,02-13,27,13
February,02-14,24.714285714285715,14
February,02-15,29,15
February,02-16,21.571428571428573,16
February,02-17,29.571428571428573,17
February,02-18,26.142857142857142,18
February,02-19,26.285714285714285,19
February,02-20,23.142857142857142,20
February,02-21,23.571428571428573,21
February,02-22,27.142857142857142,22
February,02-23,32.142857142857146,23
February,02-24,30.714285714285715,24
February,02-25,29.142857142857142,25
February,02-26,27.857142857142858,26
February,02-27,27.857142857142858,27
February,02-28,30,28
February,02-29,26,29
